#Meta,quiz-3,英単語：人称代名詞（穴埋め）,英語,Easy
id,question,option1,option2,option3,option4,correct,explanation
q3-1,( ) am a tennis player.,My,Me,I,Mine,3,「私はテニス選手です」
q3-2,That is ( ) computer.,I,My,Me,Mine,2,「それは私のコンピューターです」
q3-3,( ) is my brother.,He,His,Him,Himself,1,「彼は私の兄弟です」
q3-4,Please look at ( ).,he,his,him,himself,3,前置詞 at の後ろなので him が入ります。
q3-5,Does ( ) like music?,she,her,hers,herself,1,「彼女は音楽が好きですか？」
q3-6,I help ( ) mother.,she,her,hers,herself,2,「私は彼女の母を助けます」
q3-7,( ) study English every day.,We,Us,Our,Ours,1,「私たちは英語を毎日勉強しています」
q3-8,Ms. Green teaches ( ) music.,we,us,our,ours,2,「Ms. Greenは私たちに音楽を教えます」
q3-9,( ) are very kind.,They,Their,Them,Theirs,1,「彼らはとても優しいです」
q3-10,This is ( ) classroom.,they,their,them,theirs,2,「これは彼らの教室です」
